Log data created at: Sunday, March 12, 2017 20:48:58
Score: 	 Turn: 	 	 Genes: 
101 	 	 117 	 	 GoWhereFoodIs, RunAwayFromGhost2, GoSameDirection, GoStraight, 
101 	 	 166 	 	 GoWhereFoodIs, RunAwayFromGhost2, GoSameDirection, GoStraight, 
100 	 	 124 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, 
97 	 	 102 	 	 GoWhereFoodIs, RunAwayFromGhost1, GoSameDirection, 
97 	 	 133 	 	 GoWhereFoodIs, RunAwayFromGhost1, GoSameDirection, GoStraight, 
96 	 	 120 	 	 GoWhereFoodIs, GoSameDirection, GoStraight, 
94 	 	 257 	 	 GoWhereFoodIs, RunAwayFromGhost2, 
92 	 	 123 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, 
91 	 	 150 	 	 GoWhereFoodIs, RunAwayFromGhost1, 
88 	 	 134 	 	 GoWhereFoodIs, RunAwayFromGhost2, 
87 	 	 115 	 	 GoWhereFoodIs, GoStraight, 
84 	 	 138 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, 
83 	 	 356 	 	 GoWhereFoodIs, 
82 	 	 99 	 	 GoWhereFoodIs, RunAwayFromGhost1, GoStraight, 
82 	 	 93 	 	 GoWhereFoodIs, RunAwayFromGhost1, GoSameDirection, GoStraight, 
82 	 	 150 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoStraight, 
82 	 	 93 	 	 GoWhereFoodIs, GoSameDirection, GoStraight, 
81 	 	 117 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, GoStraight, 
80 	 	 87 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, 
79 	 	 99 	 	 GoWhereFoodIs, RunAwayFromGhost1, GoSameDirection, 
78 	 	 109 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, GoStraight, 
78 	 	 125 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoStraight, 
78 	 	 113 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoStraight, 
78 	 	 100 	 	 GoWhereFoodIs, GoSameDirection, GoStraight, 
77 	 	 82 	 	 GoWhereFoodIs, RunAwayFromGhost2, GoSameDirection, 
76 	 	 114 	 	 GoWhereFoodIs, RunAwayFromGhost2, GoStraight, 
75 	 	 113 	 	 GoWhereFoodIs, RunAwayFromGhost1, GoStraight, 
75 	 	 123 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, GoStraight, 
74 	 	 114 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoStraight, 
73 	 	 88 	 	 GoWhereFoodIs, RunAwayFromGhost2, GoSameDirection, GoStraight, 
72 	 	 194 	 	 GoWhereFoodIs, RunAwayFromGhost2, 
70 	 	 87 	 	 GoWhereFoodIs, RunAwayFromGhost1, GoSameDirection, 
70 	 	 86 	 	 GoWhereFoodIs, RunAwayFromGhost1, GoStraight, 
70 	 	 110 	 	 GoWhereFoodIs, GoStraight, 
70 	 	 89 	 	 GoWhereFoodIs, RunAwayFromGhost2, GoSameDirection, GoStraight, 
70 	 	 89 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, GoStraight, 
70 	 	 89 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, GoStraight, 
70 	 	 80 	 	 GoWhereFoodIs, GoSameDirection, GoStraight, 
68 	 	 289 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, 
67 	 	 81 	 	 RunAwayFromGhost1, GoSameDirection, 
64 	 	 66 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, 
63 	 	 98 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, 
63 	 	 68 	 	 GoWhereFoodIs, RunAwayFromGhost2, 
61 	 	 96 	 	 RunAwayFromGhost1, GoSameDirection, 
60 	 	 70 	 	 GoWhereFoodIs, RunAwayFromGhost2, GoSameDirection, 
60 	 	 92 	 	 GoWhereFoodIs, RunAwayFromGhost1, GoSameDirection, GoStraight, 
